GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)
HD02_VD01,Margin of Error; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)
