"","C.Tract","Population","Income","Med.Age","Med.Age.M","Med.Age.F"
"176",6075047701,4016,40686,45.3,42,48.4
"177",6075047702,4221,40397,40.7,38.8,44.8
"178",6075047801,4001,39282,44.6,45,44.4
"179",6075047802,3952,34861,38.6,37.4,40
"180",6075047901,6571,44652,43.5,43,44.7
"181",6075047902,3669,43271,44.8,43.8,45.4
"182",6075060100,3451,80608,31.6,33.2,29.9
"183",6075060400,1854,36409,41.4,41.7,41
"184",6075060502,3184,12733,28.4,28.3,29.5
"185",6075060700,9804,65695,33.8,33.7,34
"186",6075061000,4474,40510,33.6,33.2,34.3
"187",6075061100,4488,13413,53.5,53.8,53.4
"188",6075061200,4023,17245,33.6,32.1,38.6
"189",6075061400,5625,66515,36.5,35.7,38
"190",6075061500,12391,104275,36.5,37.7,33.5
"191",6075980200,299,33490,62.5,68.8,61.5
"192",6075980300,45,109604,42,33.7,NA
"193",6075980401,0,NA,NA,NA,NA
"194",6075980501,850,13967,39.2,40,35.7
"195",6075980600,401,25690,47.7,54.2,40
"196",6075980900,246,53663,42.2,49.5,33.9
"197",6075990100,0,NA,NA,NA,NA
