GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Population of one race:,Margin of Error; Population of one race:,Estimate; Population of one race: - White,Margin of Error; Population of one race: - White,Estimate; Population of one race: - Black or African American,Margin of Error; Population of one race: - Black or African American,Estimate; Population of one race: - American Indian and Alaska Native,Margin of Error; Population of one race: - American Indian and Alaska Native,Estimate; Population of one race: - Asian alone,Margin of Error; Population of one race: - Asian alone,Estimate; Population of one race: - Native Hawaiian and Other Pacific Islander,Margin of Error; Population of one race: - Native Hawaiian and Other Pacific Islander,Estimate; Population of one race: - Some other race,Margin of Error; Population of one race: - Some other race,Estimate; Population of two or more races:,Margin of Error; Population of two or more races:,Estimate; Population of two or more races: - Two races including Some other race,Margin of Error; Population of two or more races: - Two races including Some other race,"Estimate; Population of two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Population of two or more races: - Two races excluding Some other race, and three or more races",Estimate; Population of two or more races: - Population of two races:,Margin of Error; Population of two or more races: - Population of two races:,Estimate; Population of two or more races: - Population of two races: - White; Black or African American,Margin of Error; Population of two or more races: - Population of two races: - White; Black or African American,Estimate; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - White; Asian,Margin of Error; Population of two or more races: - Population of two races: - White; Asian,Estimate; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - All other two race combinations,Margin of Error; Population of two or more races: - Population of two races: - All other two race combinations,Estimate; Population of two or more races: - Population of three races,Margin of Error; Population of two or more races: - Population of three races,Estimate; Population of two or more races: - Population of four or more races,Margin of Error; Population of two or more races: - Population of four or more races
1400000US06075010100,06075010100,"Census Tract 101, San Francisco County, California",3741,358,3441,377,1974,269,58,55,13,22,1396,273,0,12,0,12,300,194,76,71,224,182,289,196,0,12,45,57,31,50,0,12,213,188,11,18,0,12
1400000US06075010200,06075010200,"Census Tract 102, San Francisco County, California",4028,325,3800,333,3416,331,19,30,0,12,339,127,0,12,26,28,228,134,24,39,204,130,210,129,0,12,152,116,34,37,0,12,24,39,18,33,0,12
1400000US06075010300,06075010300,"Census Tract 103, San Francisco County, California",4729,461,4683,474,2730,464,0,12,0,12,1901,500,0,12,52,76,46,43,0,12,46,43,46,43,0,12,10,15,36,40,0,12,0,12,0,12,0,12
1400000US06075010400,06075010400,"Census Tract 104, San Francisco County, California",5103,536,4774,568,3097,465,1,2,0,17,1465,400,0,17,211,160,329,190,106,119,223,149,329,190,84,98,15,25,124,93,0,17,106,119,0,17,0,17
1400000US06075010500,06075010500,"Census Tract 105, San Francisco County, California",2592,224,2457,217,1765,193,40,41,0,12,612,125,19,30,21,33,135,65,0,12,135,65,135,65,43,41,18,28,48,40,0,12,26,30,0,12,0,12
1400000US06075010600,06075010600,"Census Tract 106, San Francisco County, California",3607,376,3376,376,1215,169,78,70,0,12,2002,367,0,12,81,64,231,180,125,154,106,83,231,180,56,68,28,32,22,35,0,12,125,154,0,12,0,12
1400000US06075010700,06075010700,"Census Tract 107, San Francisco County, California",5535,447,5509,436,933,210,183,227,0,17,4355,459,0,17,38,47,26,43,26,43,0,17,26,43,0,17,0,17,0,17,0,17,26,43,0,17,0,17
1400000US06075010800,06075010800,"Census Tract 108, San Francisco County, California",4925,444,4848,449,2348,402,15,28,9,13,2379,453,0,12,97,90,77,57,0,12,77,57,77,57,0,12,11,17,49,50,17,27,0,12,0,12,0,12
1400000US06075010900,06075010900,"Census Tract 109, San Francisco County, California",4571,304,4543,304,3221,324,47,45,0,12,1176,254,0,12,99,78,28,33,0,12,28,33,28,33,0,12,12,19,16,27,0,12,0,12,0,12,0,12
1400000US06075011000,06075011000,"Census Tract 110, San Francisco County, California",5621,503,5498,529,2726,403,98,88,0,17,2527,396,0,17,147,140,123,92,25,35,98,84,123,92,41,48,8,16,49,62,0,17,25,35,0,17,0,17
1400000US06075011100,06075011100,"Census Tract 111, San Francisco County, California",5286,464,5010,456,2583,471,363,279,0,17,1876,311,0,17,188,150,276,210,156,187,120,118,217,189,0,17,0,17,61,52,0,17,156,187,59,104,0,17
1400000US06075011200,06075011200,"Census Tract 112, San Francisco County, California",2932,305,2818,306,1642,281,36,46,1,2,1090,193,34,40,15,25,114,71,39,49,75,60,113,71,0,12,8,12,66,60,0,12,39,49,1,2,0,12
