GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Population of one race:,Margin of Error; Population of one race:,Estimate; Population of one race: - White,Margin of Error; Population of one race: - White,Estimate; Population of one race: - Black or African American,Margin of Error; Population of one race: - Black or African American,Estimate; Population of one race: - American Indian and Alaska Native,Margin of Error; Population of one race: - American Indian and Alaska Native,Estimate; Population of one race: - Asian alone,Margin of Error; Population of one race: - Asian alone,Estimate; Population of one race: - Native Hawaiian and Other Pacific Islander,Margin of Error; Population of one race: - Native Hawaiian and Other Pacific Islander,Estimate; Population of one race: - Some other race,Margin of Error; Population of one race: - Some other race,Estimate; Population of two or more races:,Margin of Error; Population of two or more races:,Estimate; Population of two or more races: - Two races including Some other race,Margin of Error; Population of two or more races: - Two races including Some other race,"Estimate; Population of two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Population of two or more races: - Two races excluding Some other race, and three or more races",Estimate; Population of two or more races: - Population of two races:,Margin of Error; Population of two or more races: - Population of two races:,Estimate; Population of two or more races: - Population of two races: - White; Black or African American,Margin of Error; Population of two or more races: - Population of two races: - White; Black or African American,Estimate; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - White; Asian,Margin of Error; Population of two or more races: - Population of two races: - White; Asian,Estimate; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - All other two race combinations,Margin of Error; Population of two or more races: - Population of two races: - All other two race combinations,Estimate; Population of three races,Margin of Error; Population of three races,Estimate; Population of four or more races,Margin of Error; Population of four or more races
1400000US06075010100,06075010100,"Census Tract 101, San Francisco County, California",3744,358,3689,358,1810,262,523,395,11,19,1276,227,27,41,42,34,55,44,0,132,55,44,45,42,18,29,17,21,10,16,0,132,0,132,10,17,0,132
1400000US06075010200,06075010200,"Census Tract 102, San Francisco County, California",4184,261,3942,300,3429,316,56,53,0,132,385,86,0,132,72,94,242,142,76,59,166,124,222,142,0,132,82,105,64,61,0,132,76,59,20,31,0,132
1400000US06075010300,06075010300,"Census Tract 103, San Francisco County, California",4285,392,4173,321,2619,309,94,148,0,132,1445,242,0,132,15,24,112,159,0,132,112,159,112,159,0,132,18,29,94,157,0,132,0,132,0,132,0,132
1400000US06075010400,06075010400,"Census Tract 104, San Francisco County, California",4154,419,4068,405,2786,375,0,132,0,132,1161,254,0,132,121,113,86,71,35,56,51,43,86,71,0,132,23,26,18,29,0,132,45,59,0,132,0,132
1400000US06075010500,06075010500,"Census Tract 105, San Francisco County, California",2429,234,2357,228,1950,239,11,17,0,132,317,101,0,132,79,79,72,53,0,132,72,53,72,53,0,132,18,28,33,37,0,132,21,25,0,132,0,132
1400000US06075010600,06075010600,"Census Tract 106, San Francisco County, California",3927,547,3789,552,1204,184,86,73,0,132,2453,512,0,132,46,42,138,99,49,62,89,81,138,99,57,73,32,33,0,132,0,132,49,62,0,132,0,132
1400000US06075010700,06075010700,"Census Tract 107, San Francisco County, California",5683,484,5657,487,910,322,169,185,24,27,4541,607,0,132,13,22,26,41,26,41,0,132,26,41,0,132,0,132,0,132,0,132,26,41,0,132,0,132
1400000US06075010800,06075010800,"Census Tract 108, San Francisco County, California",4587,290,4475,296,2040,291,64,74,13,21,2336,256,0,132,22,34,112,105,0,132,112,105,52,44,12,19,16,25,24,30,0,132,0,132,60,93,0,132
1400000US06075010900,06075010900,"Census Tract 109, San Francisco County, California",4463,353,4339,361,2968,289,57,46,153,166,1056,284,0,132,105,88,124,76,0,132,124,76,124,76,63,53,15,25,37,37,0,132,9,16,0,132,0,132
1400000US06075011000,06075011000,"Census Tract 110, San Francisco County, California",5718,509,5653,520,2462,420,105,113,0,132,3027,359,0,132,59,55,65,58,19,35,46,46,65,58,0,132,7,11,39,47,0,132,19,35,0,132,0,132
1400000US06075011100,06075011100,"Census Tract 111, San Francisco County, California",4887,369,4707,364,2425,312,193,194,19,27,1979,236,0,132,91,51,180,82,0,132,180,82,168,79,29,33,0,132,99,60,0,132,40,39,12,20,0,132
1400000US06075011200,06075011200,"Census Tract 112, San Francisco County, California",3260,321,3159,319,1846,287,12,22,0,132,1272,214,0,132,29,35,101,80,0,132,101,80,65,57,0,132,0,132,65,57,0,132,0,132,36,60,0,132
1400000US06075011300,06075011300,"Census Tract 113, San Francisco County, California",3507,379,3494,381,276,107,38,59,7,12,3163,396,0,132,10,16,13,22,0,132,13,22,13,22,0,132,0,132,13,22,0,132,0,132,0,132,0,132
1400000US06075011700,06075011700,"Census Tract 117, San Francisco County, California",1444,240,1329,239,505,140,207,115,0,132,617,248,0,132,0,132,115,69,0,132,115,69,105,69,0,132,16,18,26,30,63,56,0,132,10,14,0,132
1400000US06075011800,06075011800,"Census Tract 118, San Francisco County, California",1765,205,1765,205,75,62,0,132,0,132,1690,214,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US06075011901,06075011901,"Census Tract 119.01, San Francisco County, California",2045,268,1945,252,1275,213,22,45,0,132,614,224,0,132,34,39,100,90,0,132,100,90,81,69,0,132,0,132,59,62,0,132,22,36,19,34,0,132
1400000US06075011902,06075011902,"Census Tract 119.02, San Francisco County, California",2618,343,2453,380,1596,330,59,81,42,50,657,181,32,44,67,48,165,124,2,12,163,123,163,123,0,132,0,132,133,130,0,132,30,34,2,11,0,132
1400000US06075012000,06075012000,"Census Tract 120, San Francisco County, California",3615,298,3448,288,2015,262,135,118,0,132,1156,310,0,132,142,101,167,90,28,34,139,81,151,83,0,132,26,33,97,65,0,132,28,34,16,29,0,132
1400000US06075012100,06075012100,"Census Tract 121, San Francisco County, California",3046,272,2954,277,1928,308,56,49,20,22,916,149,13,20,21,36,92,71,0,132,92,71,62,51,21,34,0,132,28,35,13,22,0,132,30,37,0,132
1400000US06075012201,06075012201,"Census Tract 122.01, San Francisco County, California",4173,432,4094,441,2229,491,225,130,0,132,1273,291,0,132,367,296,79,90,45,82,34,39,79,90,0,132,0,132,34,39,0,132,45,82,0,132,0,132
1400000US06075012202,06075012202,"Census Tract 122.02, San Francisco County, California",2272,298,2157,307,1056,297,200,112,0,132,842,221,0,132,59,83,115,78,19,23,96,76,98,75,13,23,12,19,14,22,40,62,19,23,0,132,17,27
1400000US06075012301,06075012301,"Census Tract 123.01, San Francisco County, California",2367,423,2273,413,508,160,345,147,8,14,870,320,0,132,542,377,94,60,0,132,94,60,94,60,0,132,48,44,19,21,27,43,0,132,0,132,0,132
1400000US06075012302,06075012302,"Census Tract 123.02, San Francisco County, California",2054,219,2004,226,1021,206,289,136,101,66,485,185,0,132,108,105,50,68,0,132,50,68,50,68,0,132,34,46,0,132,0,132,16,25,0,132,0,132
1400000US06075012401,06075012401,"Census Tract 124.01, San Francisco County, California",4453,602,4144,602,1535,481,197,115,90,95,1160,210,16,27,1146,603,309,237,145,188,164,143,260,242,0,132,0,132,115,147,0,132,145,188,49,46,0,132
1400000US06075012402,06075012402,"Census Tract 124.02, San Francisco County, California",2895,405,2666,367,1324,290,225,139,0,132,756,130,8,17,353,235,229,114,29,34,200,112,197,103,0,132,51,68,117,78,0,132,29,34,32,36,0,132
1400000US06075012501,06075012501,"Census Tract 125.01, San Francisco County, California",3283,464,3197,463,1278,266,516,262,55,57,960,268,19,33,369,173,86,78,0,132,86,78,66,64,0,132,12,19,11,21,0,132,43,58,20,33,0,132
1400000US06075012502,06075012502,"Census Tract 125.02, San Francisco County, California",3191,375,3113,384,879,246,495,202,25,43,1561,329,39,52,114,96,78,71,0,132,78,71,78,71,0,132,67,69,0,132,11,17,0,132,0,132,0,132
1400000US06075012601,06075012601,"Census Tract 126.01, San Francisco County, California",2323,307,2256,318,2078,296,0,132,30,38,148,155,0,132,0,132,67,73,0,132,67,73,67,73,23,37,34,60,10,18,0,132,0,132,0,132,0,132
1400000US06075012602,06075012602,"Census Tract 126.02, San Francisco County, California",2635,397,2559,394,2370,402,0,132,0,132,189,94,0,132,0,132,76,55,0,132,76,55,76,55,0,132,8,12,68,57,0,132,0,132,0,132,0,132
1400000US06075012700,06075012700,"Census Tract 127, San Francisco County, California",3322,253,3285,256,2840,281,0,132,0,132,380,114,0,132,65,65,37,36,0,132,37,36,23,27,0,132,10,17,13,21,0,132,0,132,0,132,14,22
1400000US06075012800,06075012800,"Census Tract 128, San Francisco County, California",4000,429,3835,424,3245,412,122,105,21,36,401,140,0,132,46,46,165,95,0,132,165,95,165,95,0,132,4,9,161,95,0,132,0,132,0,132,0,132
1400000US06075012901,06075012901,"Census Tract 129.01, San Francisco County, California",2569,308,2545,307,2180,304,29,48,8,14,162,75,130,79,36,43,24,28,0,132,24,28,24,28,0,132,0,132,24,28,0,132,0,132,0,132,0,132
1400000US06075012902,06075012902,"Census Tract 129.02, San Francisco County, California",3412,287,3398,289,2785,280,16,25,0,132,474,133,0,132,123,123,14,21,0,132,14,21,14,21,0,132,0,132,14,21,0,132,0,132,0,132,0,132
1400000US06075013000,06075013000,"Census Tract 130, San Francisco County, California",3788,321,3705,325,3177,355,24,39,10,16,443,114,0,132,51,87,83,70,0,132,83,70,83,70,0,132,0,132,83,70,0,132,0,132,0,132,0,132
1400000US06075013101,06075013101,"Census Tract 131.01, San Francisco County, California",3596,351,3516,348,2854,350,0,132,0,132,643,171,0,132,19,28,80,61,0,132,80,61,80,61,0,132,0,132,64,53,0,132,16,29,0,132,0,132
1400000US06075013102,06075013102,"Census Tract 131.02, San Francisco County, California",2913,430,2833,436,2414,270,114,113,8,15,253,123,0,132,44,52,80,58,0,132,80,58,62,46,0,132,22,24,40,45,0,132,0,132,18,33,0,132
1400000US06075013200,06075013200,"Census Tract 132, San Francisco County, California",4703,574,4496,579,3864,508,25,40,11,17,506,238,0,132,90,90,207,103,54,57,153,88,190,102,18,30,0,132,85,76,0,132,87,71,17,27,0,132
1400000US06075013300,06075013300,"Census Tract 133, San Francisco County, California",3794,368,3592,377,3094,359,36,56,0,132,426,140,13,21,23,26,202,150,43,57,159,109,189,146,16,25,0,132,88,90,0,132,85,77,13,20,0,132
1400000US06075013400,06075013400,"Census Tract 134, San Francisco County, California",3202,477,3114,494,2782,442,157,128,6,19,169,135,0,132,0,132,88,93,0,132,88,93,0,132,0,132,0,132,0,132,0,132,0,132,88,93,0,132
1400000US06075013500,06075013500,"Census Tract 135, San Francisco County, California",2717,266,2637,280,2192,318,35,40,0,132,360,122,0,132,50,51,80,64,43,52,37,37,80,64,0,132,0,132,37,37,0,132,43,52,0,132,0,132
1400000US06075015100,06075015100,"Census Tract 151, San Francisco County, California",2149,212,2085,215,1467,197,23,28,0,132,573,125,0,132,22,38,64,49,0,132,64,49,64,49,21,33,0,132,32,31,0,132,11,19,0,132,0,132
1400000US06075015200,06075015200,"Census Tract 152, San Francisco County, California",3780,418,3754,420,2881,384,56,56,0,132,772,232,0,132,45,71,26,30,0,132,26,30,26,30,0,132,0,132,26,30,0,132,0,132,0,132,0,132
1400000US06075015300,06075015300,"Census Tract 153, San Francisco County, California",2107,335,2019,298,1318,281,317,208,0,132,271,154,0,132,113,119,88,86,43,68,45,42,88,86,0,132,0,132,32,34,13,21,43,68,0,132,0,132
1400000US06075015400,06075015400,"Census Tract 154, San Francisco County, California",5562,525,5350,543,3728,514,153,108,0,132,1429,271,0,132,40,40,212,90,31,35,181,82,191,84,21,31,36,44,103,56,0,132,31,35,21,31,0,132
1400000US06075015500,06075015500,"Census Tract 155, San Francisco County, California",4111,663,4033,659,1993,619,273,144,14,26,1502,287,0,132,251,205,78,88,58,86,20,23,78,88,0,132,10,17,10,17,0,132,58,86,0,132,0,132
1400000US06075015600,06075015600,"Census Tract 156, San Francisco County, California",2779,287,2583,309,1388,201,113,100,0,132,1007,229,28,34,47,64,196,93,43,56,153,68,196,93,24,28,13,22,110,67,0,132,49,58,0,132,0,132
1400000US06075015700,06075015700,"Census Tract 157, San Francisco County, California",7718,930,7309,860,4229,480,377,195,0,132,2130,555,40,44,533,196,409,226,49,46,360,216,395,222,32,51,0,132,149,98,0,132,214,185,14,23,0,132
1400000US06075015801,06075015801,"Census Tract 158.01, San Francisco County, California",3247,481,3182,484,1745,336,937,299,0,132,364,194,0,132,136,192,65,69,0,132,65,69,33,50,0,132,0,132,33,50,0,132,0,132,32,50,0,132
1400000US06075015802,06075015802,"Census Tract 158.02, San Francisco County, California",2769,406,2734,402,1584,307,820,419,0,132,282,131,10,17,38,42,35,29,0,132,35,29,35,29,0,132,35,29,0,132,0,132,0,132,0,132,0,132
1400000US06075015900,06075015900,"Census Tract 159, San Francisco County, California",4134,443,4001,429,1957,415,633,201,7,12,1329,271,0,132,75,97,133,105,35,40,98,98,114,101,44,70,20,34,0,132,0,132,50,51,19,33,0,132
1400000US06075016000,06075016000,"Census Tract 160, San Francisco County, California",2255,243,2073,241,1347,202,50,46,6,10,649,185,0,132,21,25,182,125,0,132,182,125,182,125,0,132,0,132,143,119,11,19,28,30,0,132,0,132
1400000US06075016100,06075016100,"Census Tract 161, San Francisco County, California",4717,529,4548,527,1556,325,1724,414,17,23,991,304,0,132,260,142,169,112,35,39,134,91,130,88,35,40,28,46,13,23,19,30,35,39,25,30,14,24
1400000US06075016200,06075016200,"Census Tract 162, San Francisco County, California",2260,242,2141,252,1559,194,86,63,0,132,350,100,12,15,134,97,119,57,23,26,96,52,99,59,23,26,0,132,48,46,0,132,28,28,20,23,0,132
1400000US06075016300,06075016300,"Census Tract 163, San Francisco County, California",4428,437,4260,424,2582,371,1017,340,25,43,478,152,0,132,158,133,168,105,0,132,168,105,113,105,36,60,0,132,29,33,48,74,0,132,55,49,0,132
1400000US06075016400,06075016400,"Census Tract 164, San Francisco County, California",3671,397,3544,369,2256,278,518,216,49,53,519,145,0,132,202,120,127,87,10,18,117,85,117,82,0,132,0,132,60,50,47,62,10,18,10,15,0,132
1400000US06075016500,06075016500,"Census Tract 165, San Francisco County, California",4812,414,4573,391,3615,351,242,199,38,66,428,122,11,19,239,153,239,181,14,24,225,171,218,180,119,146,1,132,40,59,0,132,58,76,21,35,0,132
1400000US06075016600,06075016600,"Census Tract 166, San Francisco County, California",5205,396,4984,414,4016,409,376,188,3,7,348,128,79,108,162,126,221,126,19,30,202,125,155,117,76,101,10,17,36,44,0,132,33,39,66,79,0,132
1400000US06075016700,06075016700,"Census Tract 167, San Francisco County, California",4695,652,4421,627,3228,404,455,224,0,132,606,269,0,132,132,100,274,135,47,43,227,126,245,120,104,98,13,21,81,55,0,132,47,43,29,47,0,132
1400000US06075016801,06075016801,"Census Tract 168.01, San Francisco County, California",3170,325,2985,336,2046,385,432,167,27,52,320,170,0,132,160,120,185,105,27,39,158,93,165,96,54,52,40,56,44,44,0,132,27,39,20,27,0,132
1400000US06075016802,06075016802,"Census Tract 168.02, San Francisco County, California",3234,554,3032,500,1767,258,618,272,0,132,489,244,0,132,158,144,202,179,82,146,120,105,185,174,25,43,0,132,28,38,47,72,85,146,17,28,0,132
1400000US06075016900,06075016900,"Census Tract 169, San Francisco County, California",3347,224,3251,215,2847,237,112,78,0,132,264,120,17,29,11,18,96,59,28,31,68,49,96,59,27,29,10,15,31,38,0,132,28,31,0,132,0,132
1400000US06075017000,06075017000,"Census Tract 170, San Francisco County, California",3533,273,3341,280,2767,259,146,107,0,132,386,123,0,132,42,45,192,102,42,39,150,98,192,102,31,50,81,72,38,58,0,132,42,39,0,132,0,132
1400000US06075017101,06075017101,"Census Tract 171.01, San Francisco County, California",3447,430,3207,384,2739,344,238,235,0,132,196,97,0,132,34,38,240,143,19,29,221,141,200,123,78,97,20,24,67,56,0,132,35,38,40,50,0,132
1400000US06075017102,06075017102,"Census Tract 171.02, San Francisco County, California",4027,430,3896,409,3366,370,191,114,0,132,223,111,0,132,116,94,131,102,17,28,114,95,117,101,0,132,0,132,48,72,0,132,69,65,14,24,0,132
1400000US06075017601,06075017601,"Census Tract 176.01, San Francisco County, California",5902,524,5734,523,1923,488,924,382,19,28,2386,698,196,261,286,161,168,91,28,46,140,78,155,88,41,66,19,27,41,39,11,18,43,53,13,22,0,132
1400000US06075017700,06075017700,"Census Tract 177, San Francisco County, California",1444,238,1444,238,1132,271,40,44,16,21,139,104,0,132,117,114,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US06075017801,06075017801,"Census Tract 178.01, San Francisco County, California",2907,203,2827,210,893,143,93,82,7,10,1805,205,0,132,29,48,80,58,16,25,64,53,80,58,0,132,10,16,54,51,0,132,16,25,0,132,0,132
1400000US06075017802,06075017802,"Census Tract 178.02, San Francisco County, California",3832,497,3684,465,2013,370,438,215,13,22,988,289,0,132,232,148,148,90,0,132,148,90,111,85,17,26,21,27,16,26,20,33,37,58,37,44,0,132
1400000US06075017902,06075017902,"Census Tract 179.02, San Francisco County, California",2077,295,2044,289,1165,227,435,221,0,132,329,156,0,132,115,114,33,35,5,8,28,34,20,28,0,132,0,132,15,27,0,132,5,8,13,20,0,132
