"","C.Block","number.races","race","percent.pop"
"140","060750163002","1","White",0.454022988505747
"141","060750163003","1","White",0.648820007044734
"142","060750164001","1","White",0.766454352441614
"143","060750164002","1","White",0.665730337078652
"144","060750165001","1","White",0.477715877437326
"145","060750165002","1","White",0.743550834597876
"146","060750165003","1","White",0.659911894273128
"147","060750165004","1","White",0.889830508474576
"148","060750166001","1","White",0.708508403361345
"149","060750166002","1","White",0.705461056401074
"150","060750166003","1","White",0.793328498912255
"151","060750166004","1","White",0.827616534740545
"152","060750167001","1","White",0.886520737327189
"153","060750167002","1","White",0.84412955465587
"154","060750167003","1","White",0.8
"155","060750167004","1","White",0.831615120274914
"156","060750168011","1","White",0.580511973575557
"157","060750168012","1","White",0.706484641638225
"158","060750168013","1","White",0.567653276955603
"159","060750168021","1","White",0.612128146453089
"160","060750168022","1","White",0.586153846153846
"161","060750168023","1","White",0.675606641123882
"162","060750169001","1","White",0.812981298129813
"163","060750169002","1","White",0.757273482959268
"164","060750170001","1","White",0.91304347826087
"165","060750170002","1","White",0.762649494020239
"166","060750170003","1","White",0.871833084947839
"167","060750171011","1","White",0.853462157809984
"168","060750171012","1","White",0.879419764279238
"169","060750171013","1","White",0.844884488448845
"170","060750171021","1","White",0.852836879432624
"171","060750171022","1","White",0.758273381294964
"172","060750171023","1","White",0.77243746934772
"173","060750176011","1","White",NA
"174","060750176012","1","White",0.367778681855167
"175","060750176013","1","White",0.352443609022556
"176","060750176014","1","White",0.0860692102928128
"177","060750176015","1","White",0.256801592568016
"178","060750177001","1","White",0.281954887218045
"179","060750177002","1","White",0.590778097982709
"180","060750178011","1","White",0.220248667850799
"181","060750178012","1","White",0.295360824742268
"182","060750178021","1","White",0.444369973190349
"183","060750178022","1","White",0.489795918367347
"184","060750179021","1","White",0.37463509568602
"185","060750180001","1","White",0.516397998888271
"186","060750180002","1","White",0.418004187020237
"187","060750201001","1","White",0.665052461662631
"188","060750201002","1","White",0.555090655509066
"189","060750201003","1","White",0.296363636363636
"190","060750201004","1","White",0.519541778975741
"191","060750202001","1","White",0.546614327772326
"192","060750202002","1","White",0.591279543602282
